category,name,description,price,badge,roast,image,alt
Espresso,Espresso,"Double shot pulled in 25 seconds, dense body and golden crema.",£2.75,Popular,Dark,/images/menu/espresso.webp,"Espresso shot in a small white cup with a thick layer of golden crema"
Espresso,Cappuccino,"Espresso, steamed milk, and a thick layer of milk foam.",£4.25,House Favorite,Medium,/images/menu/cappuccino.webp,"Cappuccino in a ceramic cup with a swirl of foam on top"
Espresso,Flat White,"Double ristretto with silky microfoam, no foam cap.",£4.50,Popular,Medium,/images/menu/flat-white.webp,"Flat white with smooth latte art in a small cup"
Espresso,Latte,"Smooth espresso with steamed milk, for anyone who prefers a gentler cup.",£4.50,House Favorite,Light,/images/menu/latte.webp,"Latte with a leaf pattern in milk foam, glass mug on a wooden table"
Espresso,Macchiato,"Espresso 'marked' with a touch of hot milk foam.",£3.75,Popular,Dark,/images/menu/macchiato.webp,"Espresso macchiato in a small glass, dark coffee with a dab of foam"
Espresso,Mocha,"Espresso, semi-sweet chocolate, and steamed milk, topped with whipped cream.",£4.75,House Favorite,Medium,/images/menu/mocha.webp,"Mocha topped with whipped cream and a dusting of cocoa"
Hot Drinks,Hot Chocolate,"Melted Belgian chocolate with whole milk, served with marshmallows.",£4.25,Popular,,/images/menu/hot-chocolate.webp,"Mug of hot chocolate topped with mini marshmallows"
Hot Drinks,Matcha Latte,"Ceremonial-grade matcha whisked by hand with steamed milk.",£4.75,House Favorite,,/images/menu/matcha-latte.webp,"Bright green matcha latte in a glass cup"
Hot Drinks,Chai Latte,"Black tea spiced with cinnamon, cardamom, and clove, with steamed milk.",£4.50,Popular,,/images/menu/chai-latte.webp,"Chai latte dusted with cinnamon in a ceramic mug"
Hot Drinks,Drip Coffee,"Single-origin coffee filtered through a V60, fruit-forward with a clean finish.",£3.25,House Favorite,Light,/images/menu/drip-coffee.webp,"Pour-over coffee dripping through a V60 filter into a glass carafe"
Hot Drinks,Earl Grey Tea,"Black tea with bergamot, served in its own small pot.",£3.00,Popular,,/images/menu/earl-grey-tea.webp,"Small teapot and cup of Earl Grey tea"
Sandwiches,Ham & Cheese Sandwich,"Leg ham, Gouda, and butter on toasted ciabatta.",£6.50,House Favorite,,/images/menu/ham-and-cheese-sandwich.webp,"Toasted ciabatta sandwich with ham and melted cheese, sliced in half"
Sandwiches,Chicken & Avocado Sandwich,"Grilled chicken breast, avocado, lettuce, and house mayonnaise.",£7.25,Popular,,/images/menu/chicken-and-avocado-sandwich.webp,"Sandwich with grilled chicken, avocado, and lettuce on sliced bread"
Sandwiches,Ham & Cheese Croissant,"Butter croissant filled with ham and Emmental, baked fresh to order.",£6.00,House Favorite,,/images/menu/ham-and-cheese-croissant.webp,"Golden croissant filled with ham and cheese on a wooden board"
Sandwiches,Veggie Sandwich,"Hummus, avocado, tomato, rocket, and fresh cheese on wholemeal bread.",£6.75,Popular,,/images/menu/veggie-sandwich.webp,"Wholemeal sandwich with visible avocado, tomato, and rocket"
Iced Coffee,Cold Brew,"Steeped cold for 18 hours, served over ice.",£4.50,House Favorite,Medium,/images/menu/cold-brew.webp,"Tall glass of cold brew coffee over ice"
Iced Coffee,Iced Latte,"Double espresso with cold milk over ice, smooth and refreshing.",£4.75,Popular,Medium,/images/menu/iced-latte.webp,"Iced latte with visible espresso layering over milk and ice"
Iced Coffee,Coffee Frappé,"Espresso blended with ice and milk to a creamy finish.",£5.25,House Favorite,Medium,/images/menu/coffee-frapp.webp,"Frothy iced coffee frappé in a tall glass with a straw"
Iced Coffee,Iced Americano,"Espresso cut with cold water, served over ice.",£4.00,Popular,Dark,/images/menu/iced-americano.webp,"Glass of iced americano with visible ice cubes"
Iced Coffee,Iced Mocha,"Espresso, chocolate, and cold milk over ice, topped with whipped cream.",£5.00,House Favorite,Medium,/images/menu/iced-mocha.webp,"Iced mocha topped with whipped cream and chocolate drizzle"
